iter	Passed	Remaining
459	792	930
460	793	928
461	795	925
462	796	923
463	797	921
464	799	919
465	800	917
466	801	915
467	802	912
468	804	910
469	805	908
470	806	905
471	808	903
472	809	901
473	810	899
474	811	897
475	812	894
476	814	892
477	815	890
478	816	888
479	817	885
480	818	883
481	820	881
482	821	879
483	823	877
484	824	875
485	825	872
486	826	870
487	827	868
488	828	866
489	830	863
490	831	861
491	832	859
492	833	857
493	835	855
494	836	853
495	837	851
496	839	849
497	840	846
498	841	844
499	842	842
500	844	840
501	845	838
502	846	836
503	847	834
504	849	832
505	850	830
506	852	828
507	853	826
508	855	824
509	856	822
510	857	820
511	859	818
512	860	817
513	862	815
514	864	813
515	866	812
516	867	810
517	869	808
518	870	806
519	871	804
520	873	802
521	874	800
522	876	798
523	877	797
524	878	795
525	880	793
526	881	791
527	883	789
528	884	787
529	885	785
530	887	783
531	888	781
532	890	780
533	892	778
534	893	776
535	895	774
536	896	773
537	898	771
538	899	769
539	900	767
540	902	765
541	903	763
542	905	762
543	908	761
544	909	759
545	911	757
546	912	755
547	913	753
548	915	751
549	916	750
550	918	748
551	919	746
552	921	744
553	922	742
554	923	740
555	925	738
556	926	737
557	928	735
558	929	733
559	930	731
560	932	729
561	934	728
562	936	726
563	937	725
564	939	723
565	941	721
566	943	720
567	944	718
568	946	716
569	947	715
570	949	713
571	950	711
572	952	709
573	954	708
574	957	707
575	960	706
576	962	705
577	964	703
578	965	702
579	967	700
580	969	698
581	970	697
582	972	695
583	974	693
584	975	692
585	977	690
586	980	689
587	981	687
588	983	686
589	984	684
590	985	682
591	987	680
592	989	678
593	990	677
594	992	675
595	993	673
596	995	671
597	996	669
598	998	668
599	1001	667
600	1002	665
601	1004	663
602	1005	661
603	1006	659
604	1007	658
605	1009	656
606	1010	654
607	1011	652
608	1012	650
609	1014	648
610	1015	646
611	1016	644
612	1017	642
613	1018	640
614	1020	638
615	1022	637
616	1024	635
617	1025	633
618	1026	631
619	1027	629
620	1029	628
621	1030	626
622	1031	624
623	1032	622
624	1033	620
625	1035	618
626	1036	616
627	1037	614
628	1038	612
629	1039	610
630	1040	608
631	1042	606
632	1046	606
633	1048	605
634	1049	603
635	1050	601
636	1051	599
637	1053	597
638	1054	595
639	1055	593
640	1056	591
641	1058	590
642	1059	588
643	1060	586
644	1061	584
645	1063	582
646	1064	580
647	1067	579
648	1068	578
649	1070	576
650	1071	574
651	1072	572
652	1073	570
653	1075	568
654	1076	566
655	1077	564
656	1078	563
657	1079	561
658	1080	559
659	1082	557
660	1083	555
661	1084	553
662	1086	552
663	1088	550
664	1090	549
665	1091	547
666	1093	545
667	1094	543
668	1095	541
669	1096	540
670	1097	538
671	1099	536
672	1101	535
673	1102	533
674	1103	531
675	1104	529
676	1106	527
677	1107	525
678	1108	524
679	1110	522
680	1112	521
681	1113	519
682	1115	517
683	1116	515
684	1117	513
685	1118	512
686	1119	510
687	1120	508
688	1122	506
689	1123	504
690	1124	502
691	1125	501
692	1127	499
693	1128	497
694	1129	495
695	1130	493
696	1133	492
697	1135	491
698	1136	489
699	1137	487
700	1139	485
701	1140	484
702	1141	482
703	1142	480
704	1144	478
705	1144	476
706	1146	474
707	1147	473
708	1148	471
709	1149	469
710	1150	467
711	1152	465
712	1153	464
713	1156	463
714	1157	461
715	1159	459
716	1160	457
717	1161	456
718	1162	454
719	1164	452
720	1165	450
721	1166	449
722	1167	447
723	1169	445
724	1171	444
725	1172	442
726	1173	440
727	1175	439
728	1178	437
729	1179	436
730	1180	434
731	1181	432
732	1183	430
733	1184	429
734	1185	427
735	1186	425
736	1187	423
737	1189	422
738	1190	420
739	1191	418
740	1192	416
741	1193	415
742	1194	413
743	1196	411
744	1198	410
745	1200	408
746	1201	407
747	1203	405
748	1204	403
749	1205	401
750	1206	400
751	1207	398
752	1209	396
753	1210	394
754	1211	393
755	1212	391
756	1213	389
757	1215	387
758	1216	386
759	1217	384
760	1218	382
761	1220	381
762	1222	379
763	1223	378
764	1225	376
765	1227	374
766	1228	373
767	1229	371
768	1230	369
769	1232	368
770	1233	366
771	1234	364
772	1235	362
773	1236	361
774	1238	359
775	1239	357
776	1240	356
777	1243	354
778	1245	353
779	1246	351
780	1247	349
781	1249	348
782	1250	346
783	1251	344
784	1252	343
785	1254	341
786	1255	339
787	1256	338
788	1257	336
789	1259	334
790	1260	332
791	1261	331
792	1262	329
793	1263	327
794	1268	327
795	1270	325
796	1271	323
797	1272	322
798	1273	320
799	1274	318
800	1275	317
801	1277	315
802	1278	313
803	1279	311
804	1281	310
805	1282	308
806	1283	307
807	1284	305
808	1286	303
809	1288	302
810	1289	300
811	1290	298
812	1292	297
813	1293	295
814	1295	294
815	1297	292
816	1298	290
817	1299	289
818	1300	287
819	1301	285
820	1302	284
821	1304	282
822	1305	280
823	1306	279
824	1307	277
825	1311	276
826	1313	274
827	1314	273
828	1316	271
829	1317	269
830	1318	268
831	1320	266
832	1321	264
833	1322	263
834	1324	261
835	1325	259
836	1326	258
837	1327	256
838	1328	255
839	1330	253
840	1331	251
841	1333	250
842	1334	248
843	1336	246
844	1337	245
845	1339	243
846	1341	242
847	1342	240
848	1343	239
849	1345	237
850	1346	235
851	1347	234
852	1348	232
853	1350	230
854	1351	229
855	1352	227
856	1354	226
857	1356	224
858	1357	222
859	1358	221
860	1359	219
861	1360	217
862	1361	216
863	1363	214
864	1364	212
865	1365	211
866	1367	209
867	1368	208
868	1369	206
869	1370	204
870	1371	203
871	1373	201
872	1374	199
873	1376	198
874	1378	196
875	1379	195
876	1380	193
877	1381	191
878	1382	190
879	1384	188
880	1385	187
881	1386	185
882	1387	183
883	1388	182
884	1390	180
885	1392	179
886	1393	177
887	1394	175
888	1395	174
889	1397	172
890	1399	171
891	1400	169
892	1401	167
893	1403	166
894	1404	164
895	1405	163
896	1406	161
897	1408	159
898	1409	158
899	1410	156
900	1411	155
901	1412	153
902	1414	151
903	1415	150
904	1416	148
905	1417	147
906	1420	145
907	1422	144
908	1424	142
909	1425	140
910	1426	139
911	1427	137
912	1429	136
913	1430	134
914	1431	132
915	1433	131
916	1434	129
917	1435	128
918	1436	126
919	1438	125
920	1439	123
921	1440	121
922	1442	120
923	1443	118
924	1445	117
925	1447	115
926	1449	114
927	1451	112
928	1452	111
929	1454	109
930	1455	107
931	1457	106
932	1459	104
933	1463	103
934	1464	101
935	1466	100
936	1469	98
937	1471	97
938	1473	95
939	1475	94
940	1477	92
941	1478	91
942	1480	89
943	1481	87
944	1482	86
945	1486	84
946	1488	83
947	1489	81
948	1491	80
949	1492	78
950	1493	76
951	1495	75
952	1496	73
953	1498	72
954	1500	70
955	1501	69
956	1503	67
957	1504	65
958	1508	64
959	1509	62
960	1511	61
961	1512	59
962	1514	58
963	1515	56
964	1516	55
965	1518	53
966	1520	51
967	1521	50
968	1522	48
969	1524	47
970	1525	45
971	1526	43
972	1530	42
973	1532	40
974	1533	39
975	1535	37
976	1536	36
977	1537	34
978	1539	33
979	1540	31
980	1542	29
981	1544	28
982	1545	26
983	1547	25
984	1548	23
985	1550	22
986	1552	20
987	1554	18
988	1555	17
989	1558	15
990	1559	14
991	1560	12
992	1562	11
993	1563	9
994	1565	7
995	1566	6
996	1567	4
997	1569	3
998	1570	1
999	1572	0
