iter	Passed	Remaining
455	834	996
456	836	993
457	837	991
458	839	989
459	840	986
460	841	984
461	842	981
462	844	979
463	845	976
464	846	974
465	847	971
466	849	969
467	850	966
468	852	964
469	853	962
470	854	959
471	855	957
472	857	954
473	858	952
474	859	950
475	861	948
476	863	946
477	864	944
478	866	942
479	867	940
480	869	937
481	870	935
482	871	932
483	873	930
484	874	928
485	876	926
486	877	924
487	878	921
488	879	919
489	881	917
490	883	915
491	884	913
492	886	911
493	887	908
494	888	906
495	890	904
496	891	902
497	892	900
498	894	898
499	896	896
500	897	894
501	899	892
502	900	889
503	902	887
504	903	885
505	905	883
506	906	881
507	907	879
508	909	877
509	910	874
510	911	872
511	912	869
512	913	867
513	915	865
514	918	864
515	919	862
516	920	859
517	921	857
518	922	855
519	924	853
520	925	851
521	927	849
522	928	846
523	929	844
524	931	842
525	932	840
526	935	839
527	936	837
528	939	836
529	940	834
530	941	831
531	943	829
532	944	827
533	945	825
534	947	823
535	948	821
536	950	819
537	951	816
538	952	814
539	953	812
540	954	810
541	955	807
542	957	805
543	959	804
544	962	803
545	963	801
546	966	800
547	967	798
548	972	798
549	974	797
550	976	795
551	979	794
552	980	792
553	982	791
554	984	789
555	986	787
556	988	786
557	990	784
558	992	782
559	994	781
560	995	779
561	997	777
562	999	775
563	1000	773
564	1001	771
565	1004	770
566	1006	768
567	1008	767
568	1010	765
569	1011	763
570	1013	761
571	1015	760
572	1018	758
573	1020	757
574	1023	756
575	1025	754
576	1027	753
577	1030	752
578	1032	751
579	1034	748
580	1035	746
581	1037	745
582	1039	743
583	1041	741
584	1042	739
585	1044	737
586	1045	735
587	1047	733
588	1048	731
589	1049	729
590	1053	728
591	1054	726
592	1055	724
593	1057	722
594	1063	723
595	1065	722
596	1067	720
597	1069	719
598	1071	717
599	1077	718
600	1079	716
601	1080	714
602	1081	712
603	1082	709
604	1084	708
605	1087	707
606	1089	705
607	1090	702
608	1091	700
609	1092	698
610	1093	696
611	1094	694
612	1097	692
613	1098	690
614	1099	688
615	1101	686
616	1102	684
617	1103	682
618	1105	680
619	1107	678
620	1108	676
621	1110	674
622	1111	672
623	1113	670
624	1114	668
625	1115	666
626	1117	664
627	1122	664
628	1123	662
629	1125	660
630	1126	658
631	1127	656
632	1129	655
633	1131	653
634	1132	650
635	1133	648
636	1134	646
637	1136	644
638	1137	642
639	1138	640
640	1139	638
641	1141	636
642	1143	634
643	1144	632
644	1145	630
645	1146	628
646	1148	626
647	1151	625
648	1152	623
649	1154	621
650	1155	619
651	1156	617
652	1158	615
653	1159	613
654	1160	611
655	1161	609
656	1163	607
657	1164	605
658	1166	603
659	1167	601
660	1168	599
661	1169	597
662	1172	595
663	1173	593
664	1174	591
665	1176	589
666	1177	587
667	1178	585
668	1179	583
669	1181	581
670	1182	579
671	1184	577
672	1185	575
673	1186	573
674	1187	571
675	1189	569
676	1190	567
677	1192	566
678	1193	564
679	1195	562
680	1196	560
681	1197	558
682	1199	556
683	1201	555
684	1203	553
685	1204	551
686	1206	549
687	1208	547
688	1209	545
689	1210	543
690	1211	541
691	1213	539
692	1214	538
693	1216	536
694	1217	534
695	1218	532
696	1220	530
697	1221	528
698	1222	526
699	1223	524
700	1224	522
701	1226	520
702	1228	519
703	1230	517
704	1231	515
705	1232	513
706	1233	511
707	1234	509
708	1236	507
709	1237	505
710	1239	503
711	1240	501
712	1242	500
713	1243	498
714	1244	496
715	1245	494
716	1247	492
717	1248	490
718	1250	488
719	1251	486
720	1252	484
721	1255	483
722	1256	481
723	1257	479
724	1260	478
725	1261	476
